Progress,Duration,D1,D2,D2_1,D3,D3_1,D4,D4_1,D5_1,D6,D7,D8,HighSES_1,HighSES_2,HighSES_3,HighSES_4,ATT_1,LowSES_1,LowSES_2,LowSES_3,LowSES_4,ATT_2,WPS_1,WPS_2,WPS_3,WPS_4,WPS_5,ATT_3,WG_1,WG_2,WG_3,WG_4,WG_5,ATT_4,MRS_1,MRS_2,MRS_3,MRS_4,MRS_5,MRS_6,ATT_5,RGP_1,RGP_2,RGP_3,RGP_4,RGP_5,RGP_6,RGP_7,RGP_8,RGP_9,ATT_6,CSER_1,CSER_2,CSER_3,CSER_4,CSER_5,CSER_6,CSER_7,CSER_8,CSER_9,CSER_10,CSER_11,CSER_12,CSER_13,CSER_14,CSER_15,CSER_16,ATT_7,SDO_1,SDO_2,SDO_3,SDO_4,SDO_5,SDO_6,SDO_7,SDO_8,SDO_9,SDO_10,SDO_11,SDO_12,SDO_13,SDO_14,SDO_15,SDO_16,ATT_8,Condition
100,183,20,2,,1,,8,,7,13,3,5,,,,,,people without jobs,people without education,immigrants ,5,1,5,5,5,5,5,7,5,5,4,4,4,2,2,5,2,2,2,2,4,86,100,73,90,74,67,100,65,19,3,1,1,1,1,1,1,7,1,7,7,7,7,7,7,6,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,LowSESManipulation
100,368,19,2,,1,,7,,2,13,6,7,Homeless people,"Farmers, factory workers","Construction workers, truck drivers",7,1,,,,,,7,7,7,1,7,7,5,7,1,5,6,2,1,4,1,1,1,1,4,80,70,77,10,80,90,70,80,80,3,3,6,3,5,5,4,3,4,5,1,3,1,4,2,3,1,3,1,1,1,1,6,7,7,6,1,1,1,1,7,7,7,7,5,HighSESManipulation
100,1062,18,2,,1,,5,,4,13,5,5,,,,,,Bill Gates ,Jeff Bezos ,Elon Musk ,6,1,6,6,6,2,4,7,3,5,3,3,5,2,1,6,2,1,2,3,4,85,85,85,85,85,85,85,85,85,3,6,4,5,3,6,2,4,4,5,3,5,2,6,2,4,2,3,1,1,1,1,7,7,7,7,1,1,1,2,7,7,6,7,5,LowSESManipulation
100,2309,18,2,,1,,7,,3,7,4,6,,,,,,Politicians,Celeberties,Buisness owners,5,1,7,6,7,1,4,7,6,6,2,6,7,2,1,6,1,1,1,1,4,80,50,84,14,44,100,51,53,95,3,4,5,5,3,4,3,3,2,4,3,4,4,5,2,3,4,3,3,1,1,1,6,6,7,6,1,2,1,1,7,7,7,6,5,LowSESManipulation
100,699,19,2,,1,,5,,3,7,5,5,homeless,jobless,minimum wage workers,4,1,,,,,,6,6,6,2,5,7,3,5,3,5,5,2,1,7,1,1,1,1,4,85,80,85,75,50,95,85,50,80,3,4,4,5,5,4,3,4,3,5,3,4,4,5,4,3,4,3,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,5,HighSESManipulation
100,2065,18,2,,1,,5,,3,7,5,5,,,,,,Successful entrepreneurs ,Athletes,Actors,2,1,5,6,4,1,4,7,6,6,2,6,7,2,1,6,1,2,5,5,4,100,71,100,84,71,100,100,88,89,3,5,2,4,4,3,6,2,5,2,4,4,4,6,5,2,4,3,1,2,2,5,6,6,6,4,1,3,2,1,6,7,7,7,5,LowSESManipulation
100,1072,20,1,,1,,8,,5,2,2,2,homeless,cant receive income,cant receive benefits,4,1,,,,,,5,3,3,3,2,7,3,3,4,3,3,1,3,6,4,2,1,1,4,54,54,52,52,51,51,51,52,52,3,7,2,7,2,4,2,2,4,2,4,5,5,3,1,2,5,3,1,1,1,1,7,7,1,7,1,1,1,1,7,1,7,7,5,HighSESManipulation
100,469,18,2,,1,,7,,5,10,5,3,Homeless,Children in Poverty,Jobless people ,5,1,,,,,,7,7,7,1,5,7,7,7,1,7,7,2,1,7,1,1,1,1,4,91,50,90,30,90,90,91,90,90,3,3,5,4,5,4,6,6,5,4,2,4,4,6,3,2,4,3,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,5,HighSESManipulation
100,580,19,2,,1,,5,,3,13,7,7,,,,,,millionaires/billionaires,CEOs/Investors,People who come from Old Money,6,1,7,7,7,2,4,7,5,6,2,6,5,2,1,6,2,2,1,1,4,100,100,100,100,100,100,100,100,100,3,3,6,5,6,6,2,4,2,6,2,4,2,5,2,5,3,3,3,2,3,1,7,7,7,7,2,2,1,2,7,7,6,7,5,LowSESManipulation
100,460,18,2,,1,,5,,6,12,4,3,,,,,,Millionaires,president ,Elon Musk ,3,1,4,3,3,5,2,7,5,6,2,3,3,1,5,4,5,2,3,3,4,91,91,75,95,92,65,63,61,61,3,5,4,5,3,6,2,3,2,5,4,4,2,4,2,5,1,3,3,2,2,2,3,5,2,4,3,5,3,3,5,5,3,3,5,LowSESManipulation
100,654,20,2,,1,,3,,6,10,4,4,,,,,,athletes,actors,music artists,2,1,5,4,5,2,4,7,5,6,2,5,4,2,1,5,4,4,4,4,4,80,80,80,80,80,80,80,80,80,3,7,4,7,1,4,1,5,1,6,3,4,1,5,1,6,2,3,1,4,4,6,4,4,4,4,4,6,4,4,6,4,5,4,5,LowSESManipulation
100,475,22,1,,1,,12,,6,4,6,6,african american families without a father,first generation immigrants,the mentally handicapped,6,1,,,,,,1,1,1,7,1,7,1,1,7,1,1,2,7,1,4,5,1,5,4,100,100,100,100,100,100,100,,100,3,7,1,7,1,4,1,4,4,7,4,4,4,4,4,4,4,3,1,4,1,1,3,6,7,4,4,4,3,4,4,6,4,4,5,HighSESManipulation
100,504,18,1,,1,,6,,7,9,5,7,homeless people,incarcerated people,severely disabled people ,9,1,,,,,,1,1,1,7,1,7,1,1,7,1,1,6,7,5,3,1,1,1,4,50,50,50,50,50,50,50,50,50,3,7,1,7,1,4,1,3,4,4,4,4,1,3,4,4,4,3,1,1,1,1,6,7,7,7,7,7,7,7,7,6,6,1,5,HighSESManipulation
100,432,21,2,,1,,11,,6,12,3,3,,,,,,Celebrity ,Politician ,Doctor ,2,1,5,5,5,3,5,7,4,5,2,5,5,2,2,6,3,3,2,6,4,71,70,70,71,70,70,70,70,70,3,7,2,6,2,7,1,4,1,6,2,5,2,6,2,6,3,3,1,1,4,4,7,6,7,5,1,2,1,1,7,7,7,7,5,LowSESManipulation
100,524,21,2,,1,,5,,8,13,4,7,Homeless People,"People on food stamps, using government handouts ",Unemployed,8,1,,,,,,3,1,4,4,2,7,1,2,4,1,2,2,3,4,5,2,1,1,4,100,100,90,100,96,100,96,48,49,3,7,2,2,4,7,1,7,1,7,1,7,1,7,1,7,1,3,5,1,4,1,5,4,6,2,5,3,3,4,4,4,4,4,5,HighSESManipulation
100,955,18,2,,1,,6,,2,13,5,6,The homeless,The unemployed ,sex workers,5,1,,,,,,7,7,7,1,3,7,7,7,1,6,7,2,1,6,1,1,1,1,4,90,90,90,80,80,95,75,90,75,3,5,3,7,3,4,4,5,4,2,4,2,4,5,4,3,4,3,2,1,1,1,7,7,7,7,7,7,1,2,7,6,6,6,7,HighSESManipulation
100,551,18,2,,1,,3,,2,5,2,2,Fast food workers,Strippers,Homeless ,7,1,,,,,,6,6,6,1,6,7,3,3,3,3,6,2,1,7,1,1,1,1,4,100,100,100,100,100,100,100,100,100,3,5,5,5,5,5,1,6,2,5,4,6,1,6,1,5,1,3,7,1,1,1,7,7,1,7,1,1,1,1,7,7,7,7,5,HighSESManipulation
100,344,19,7,gender queer,1,,11,,2,2,3,3,,,,,,goverment officials ,corporate ceos ,a-list actors ,1,1,7,7,7,1,5,7,7,7,1,7,6,2,1,7,1,1,1,1,4,100,71,100,64,100,100,95,96,96,3,7,3,7,3,4,6,3,4,2,4,2,4,3,4,2,4,3,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,5,LowSESManipulation
100,1183,18,2,,1,,13,I am not affiliated with  any specific religion but I do have beliefs about certain topics regarding it.,8,10,5,2,The homeless. People that are unfortunate enough to have a roof over their head and food before them.,"People who live outside/inside the city. For example, downtown Cleveland. Lower income families.",People who don't have a job to sustain themselves because the didn't get the correct or enough education.,7,1,,,,,,3,3,5,4,3,7,2,3,5,3,3,2,3,4,4,4,5,4,4,70,70,70,70,70,60,100,70,70,3,3,4,4,4,4,4,4,4,5,3,5,4,4,4,5,4,3,5,7,7,6,3,4,4,4,4,5,2,4,5,4,4,3,5,HighSESManipulation
100,981,18,2,,1,,5,,7,13,7,5,,,,,,Celebrities.,Professional sport athletes. ,Doctors or health care workers.,6,1,4,5,5,4,5,7,5,5,3,5,4,2,3,5,4,4,4,4,4,100,100,100,100,100,100,100,100,100,3,4,4,2,2,2,4,4,4,4,4,4,4,4,4,4,4,3,4,3,5,4,4,5,3,4,3,5,4,3,5,5,5,4,5,LowSESManipulation
100,405,19,2,,1,,13,Non Religious ,2,2,6,5,Poverty income level families,Homeless,Food insecure,6,1,,,,,,7,7,7,1,6,7,6,7,1,6,6,2,1,7,1,1,1,2,4,100,45,100,12,100,100,82,100,100,3,5,4,5,3,4,6,6,5,3,2,4,5,6,4,3,2,3,2,2,2,1,6,7,6,7,1,1,1,1,7,6,7,7,5,HighSESManipulation
100,504,19,2,,1,,5,,8,12,6,6,,,,,,People who have a very well playing job.,People who have a very high education and use this in their daily lives.,People who are very happy with their lives.,6,1,4,5,4,5,1,7,2,5,1,4,4,2,4,5,5,1,1,1,4,100,100,100,100,100,100,100,100,100,3,2,3,4,4,7,1,6,1,7,1,7,1,7,1,7,1,3,1,1,1,1,7,1,1,1,2,1,4,2,6,6,4,6,5,LowSESManipulation
75,104,18,2,,1,,7,,5,7,5,3,Homeless,people in poverty,single parent,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HighSESManipulation
6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,525,18,2,,1,,13,None,5,8,3,5,,,,,,Actors,Singers,Producers,5,1,6,5,5,3,4,7,4,4,2,4,5,2,1,7,3,2,4,4,4,100,100,100,100,100,100,100,100,100,3,7,3,7,2,7,5,6,1,6,4,4,4,4,1,4,4,3,4,2,2,1,7,7,7,4,4,4,4,4,7,6,7,7,5,LowSESManipulation
81,183,,2,,2,,8,,5,4,4,6,,,,,,jeff bezos ,big tech companies ,kardashians ,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LowSESManipulation
6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,140,21,2,,1,,11,,7,11,5,3,,,,,,Celebrity ,Politician ,Elon musk ,2,1,5,5,5,3,5,7,4,4,4,5,4,2,1,7,3,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LowSESManipulation
100,281,19,2,,1,,7,,3,13,6,7,Homeless or very low-income,Construction works & factory workers,Farmers ,8,1,,,,,,7,6,6,1,6,7,6,7,1,6,6,2,1,5,1,1,1,1,4,66,53,76,29,77,87,59,79,81,3,2,4,5,5,5,3,5,4,4,2,4,2,5,4,3,1,3,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,5,HighSESManipulation
100,2898,19,2,,1,,12,,5,10,6,6,Fast food worker,Homeless,single parent,6,1,,,,,,6,4,5,4,2,7,7,6,1,6,5,2,2,4,4,4,1,3,4,86,77,50,92,51,79,82,50,49,3,7,2,6,4,4,4,7,5,5,4,6,4,6,5,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,HighSESManipulation
100,1612,26,1,,1,,6,,3,12,6,6,,,,,,Company CEO,Lawyer,Doctor,3,1,7,5,7,3,4,7,2,1,6,2,2,2,1,7,1,1,1,4,4,90,70,85,0,90,85,100,100,80,3,7,1,7,1,4,2,1,2,4,3,4,3,2,1,4,2,3,1,1,1,1,7,1,1,1,1,1,1,1,7,7,7,7,5,LowSESManipulation
100,453,21,2,,1,,11,,1,7,2,5,People in poverty,Migrants seeking asylum,People of color ,8,1,,,,,,7,7,7,1,4,7,6,7,1,6,6,2,1,6,1,1,1,1,4,100,50,70,50,100,100,96,100,100,3,3,2,7,1,6,5,3,2,3,1,5,4,5,1,2,2,1,2,1,2,1,7,7,7,7,1,1,1,1,7,7,7,7,5,HighSESManipulation
100,521,18,2,,1,,12,,3,8,5,3,,,,,,Elon Musk,Jeff Bezos,Harry Styles,4,1,7,7,7,1,6,7,5,6,1,6,6,6,1,6,2,2,1,3,4,95,70,95,30,70,95,75,95,80,3,5,3,6,4,4,2,3,1,3,6,4,3,4,2,3,4,3,6,1,2,1,7,7,6,4,1,2,1,1,1,1,1,1,5,LowSESManipulation
100,359,18,2,,1,,5,,6,12,7,6,Celebrities ,Professional athletes ,Business owners and healthcare workers ,6,1,,,,,,5,5,4,3,5,7,5,5,4,5,4,2,3,4,3,4,4,4,4,100,100,100,100,100,100,100,100,100,3,5,3,5,3,5,4,4,4,4,4,4,4,5,4,4,4,3,4,4,5,3,5,5,4,4,3,3,4,4,6,6,6,6,5,HighSESManipulation
100,13092,18,2,,1,,5,,6,12,7,6,,,,,,Professional athletes ,Celebrities ,Business owners or healthcare workers ,6,1,5,5,5,3,4,7,5,5,3,5,5,2,3,4,3,3,4,4,4,91,100,86,100,91,98,100,76,80,3,4,3,5,3,5,4,5,5,5,5,4,4,5,5,5,4,3,4,3,5,3,6,5,5,4,3,3,4,3,5,5,5,5,5,LowSESManipulation
100,698,40,2,,6,,7,,3,3,2,3,,,,,,Doctors,Lawyers ,Experts or consultants in high demand expertise ,6,1,,,,,,,,,,,,,1,6,1,1,1,1,4,81,81,75,75,70,80,80,80,85,3,1,7,1,7,7,1,4,1,7,3,6,1,3,1,7,2,3,1,1,1,1,1,7,1,7,1,1,1,1,7,7,7,7,5,LowSESManipulation
100,796,18,2,,1,,7,,3,13,5,6,Fast food workers,Homeless,Childcare workers,5,1,,,,,,7,7,7,1,7,7,2,4,4,4,4,2,1,6,1,2,1,1,4,100,100,100,70,100,100,100,100,100,3,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,5,HighSESManipulation
