StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,C1,D1,D2,D2_7_TEXT,D3,D3_8_TEXT,D4,D4_13_TEXT,D5_1,D6,D7,D8,Q37,Q36,Q35,Q26_1,Q38,Q32,Q33,Q34,Q29_1,Q39,WPS_1,WPS_2,WPS_3,WPS_4,WPS_5,WPS_6,WG_1,WG_2,WG_3,WG_4,WG_5,WG_6,MRS_1,MRS_2,MRS_3,MRS_4,MRS_5,MRS_6,MRS_7,RGP_1,RGP_2,RGP_3,RGP_4,RGP_5,RGP_6,RGP_7,RGP_8,RGP_9,Q40,CSER_1,CSER_2,CSER_3,CSER_4,CSER_5,CSER_6,CSER_7,CSER_8,CSER_9,CSER_10,CSER_11,CSER_12,CSER_13,CSER_14,CSER_15,CSER_16,CSER_17,SDO_1,SDO_2,SDO_3,SDO_4,SDO_5,SDO_6,SDO_7,SDO_8,SDO_9,SDO_10,SDO_11,SDO_12,SDO_13,SDO_14,SDO_15,SDO_16,SDO_17,FL_29_DO
2021-07-12 15:44:13,2021-07-12 15:56:37,IP Address,173.91.161.62,100,743,True,2021-07-12 15:56:38,R_2TFA9xzbAZXK3rq,,,,,41.4105072021484375,-82.35900115966796875,anonymous,EN,Yes,20,Female,,White,,Atheist,,Strong Liberal,"$10,000 to $19,999",Master's Degree,High School Diploma,Fast food workers,Retail workers,"Restaurant ",2,A,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Moderately Agree,Strongly Agree,Strongly Disagree,Moderately Agree,Strongly Agree,Moderately Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,90,30,95,5,74,100,64,100,100,C,Neutral,Strongly Disagree,Neutral,Slightly Disagree,Slightly Agree,Strongly Agree,Strongly Disagree,Moderately Disagree,Strongly Disagree,Moderately Agree,Neutral,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Slightly Disagree,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Slightly Favor,HighSESManipulation
2021-07-12 17:25:17,2021-07-12 17:33:02,IP Address,68.254.249.37,100,465,True,2021-07-12 17:33:03,R_3JeJMZE2iEp2m6t,,,,,36.8419952392578125,-119.65779876708984375,anonymous,EN,Yes,36,Male,,Asian/Asian American,,Atheist,,Neutral,"$80,000 to $89,999",Less Than High School,Less Than High School,,,,,,,,,8,A,,,,,,,,,,,,,Moderately Disagree,Slightly Agree,Neutral,Slightly Disagree,Slightly Disagree,Neutral,Neutral,50,49,50,50,50,50,50,50,50,C,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Neutral,Strongly Disagree,Slightly Agree,Moderately Disagree,Moderately Agree,Slightly Disagree,Neutral,Slightly Disagree,Neutral,Strongly Disagree,Moderately Agree,Strongly Disagree,Slightly Disagree,Slightly Oppose,Strongly Oppose,Somewhat Oppose,Somewhat Oppose,Neutral,Somewhat Favor,Neutral,Somewhat Favor,Slightly Oppose,Slightly Oppose,,Neutral,Slightly Favor,Slightly Favor,Somewhat Favor,Slightly Favor,Slightly Favor,LowSESManipulation
2021-07-13 19:36:27,2021-07-13 20:03:31,IP Address,98.102.137.42,100,1623,True,2021-07-13 20:03:31,R_1hEaIulv7jbVdII,,,,,39.5081939697265625,-84.3986968994140625,anonymous,EN,Yes,19,Female,,White,,Other Christian,,Slight Conservative,"$100,000 to $149,999",Bachelor's Degree,High School Diploma,McDonalds cook,Walmart door greeter,Taco bell employee,7,A,,,,,,Moderately Agree,Moderately Agree,Moderately Agree,Slightly Disagree,Neutral,Strongly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Neutral,Neutral,Moderately Disagree,Moderately Disagree,Slightly Agree,Neutral,Slightly Disagree,Slightly Disagree,Strongly Disagree,Neutral,83,84,80,87,78,86,86,82,77,C,Slightly Agree,Slightly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Slightly Agree,Neutral,Slightly Agree,Neutral,Slightly Agree,Neutral,Slightly Agree,Neutral,Slightly Disagree,Neutral,Slightly Oppose,Slightly Favor,Neutral,Slightly Favor,Neutral,Slightly Favor,Slightly Favor,Neutral,Neutral,Neutral,Slightly Favor,Neutral,Somewhat Favor,Slightly Favor,Neutral,Slightly Favor,HighSESManipulation
2021-07-07 08:41:09,2021-07-07 08:46:31,IP Address,76.189.73.114,91,322,False,2021-07-14 08:46:32,R_2dsAkBCtcJsJj16,,,,,,,anonymous,EN,Yes,59,Female,,White,,Catholic,,Slight Conservative,"$80,000 to $89,999",Some College,"Doctoral or Professional Degree (i.e., Ph.D., M.D., J.D.)","homeless ",fast food employee,Disability payment recipients,5,A,,,,,,Moderately Agree,Moderately Disagree,Slightly Agree,Strongly Disagree,Slightly Agree,Strongly Agree,Slightly Agree,Neutral,Slightly Disagree,Slightly Agree,Neutral,Moderately Disagree,Moderately Disagree,Strongly Agree,Moderately Disagree,Strongly Disagree,Moderately Disagree,Strongly Disagree,Neutral,84,84,68,100,78,100,100,95,90,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HighSESManipulation
2021-07-07 09:52:14,2021-07-07 09:53:05,IP Address,98.25.146.35,6,51,False,2021-07-14 09:53:06,R_1gj2fNoEcWNtvXh,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-07 13:19:52,2021-07-07 13:21:20,IP Address,104.15.197.188,53,88,False,2021-07-14 13:21:23,R_3R3D3PwPpbUDV5m,,,,,,,anonymous,EN,Yes,20,Female,,White,,Other Christian,,Slight Liberal,"$50,000 to $59,999",Master's Degree,Master's Degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LowSESManipulation
2021-07-14 19:44:18,2021-07-14 19:59:38,IP Address,66.61.82.56,100,920,True,2021-07-14 19:59:38,R_22RlIyzmTe7ppl0,,,,,41.876800537109375,-80.783599853515625,anonymous,EN,Yes,38,Female,,White,,Other Christian,,Moderate Liberal,"$100,000 to $149,999",High School Diploma,Bachelor's Degree,"people of Appalachia ",undocumented immigrants,african americans,6,A,,,,,,Strongly Agree,Strongly Agree,Moderately Agree,Strongly Disagree,Moderately Agree,Strongly Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Slightly Agree,Slightly Agree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Neutral,70,70,70,70,70,70,70,70,70,C,Slightly Agree,Neutral,Strongly Agree,Neutral,Moderately Agree,Moderately Disagree,Slightly Agree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Disagree,Slightly Agree,Moderately Disagree,Slightly Agree,Moderately Disagree,Slightly Disagree,Strongly Oppose,Somewhat Oppose,Somewhat Oppose,Somewhat Oppose,Somewhat Favor,Somewhat Favor,Somewhat Favor,Somewhat Favor,Somewhat Oppose,Somewhat Oppose,Somewhat Oppose,Somewhat Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Slightly Favor,HighSESManipulation
2021-07-15 02:13:28,2021-07-15 02:22:46,IP Address,208.81.216.8,100,558,True,2021-07-15 02:22:46,R_1g2yplwO3tipqkV,,,,,39.148895263671875,-84.48580169677734375,anonymous,EN,Yes,34,Female,,White,,Prefer Not To Answer,,Neutral,"$60,000 to $69,999",High School Diploma,High School Diploma,,,,,,Athletes,Entrepreneurs,celebrities,3,A,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Strongly Agree,Slightly Agree,Slightly Agree,Strongly Disagree,Slightly Agree,Slightly Agree,Moderately Disagree,Strongly Disagree,Strongly Agree,Moderately Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,100,100,100,100,100,100,100,100,100,C,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Strongly Disagree,Slightly Agree,Strongly Disagree,Moderately Agree,Moderately Disagree,Strongly Agree,Strongly Disagree,Moderately Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Slightly Disagree,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Slightly Oppose,Strongly Favor,Somewhat Favor,Strongly Favor,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Slightly Favor,LowSESManipulation
2021-07-17 21:47:04,2021-07-17 21:58:37,IP Address,68.254.249.37,100,693,True,2021-07-17 21:58:39,R_3RxqDshLhqYDvtk,,,,,36.8419952392578125,-119.65779876708984375,anonymous,EN,Yes,36,Male,,Asian/Asian American,,Atheist,,Neutral,"$70,000 to $79,999",Less Than High School,Less Than High School,homeless,,,10,A,,,,,,,,,,,,,,,,,,Moderately Disagree,Slightly Agree,Slightly Disagree,Moderately Disagree,Slightly Disagree,Slightly Disagree,Neutral,50,40,50,50,50,50,50,49,50,C,Moderately Agree,Slightly Agree,Neutral,Slightly Agree,Slightly Agree,Slightly Disagree,Neutral,Slightly Disagree,Slightly Agree,Neutral,Neutral,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Somewhat Oppose,Strongly Oppose,Somewhat Oppose,Strongly Oppose,Slightly Oppose,Strongly Favor,Neutral,Somewhat Favor,Strongly Oppose,Somewhat Oppose,Neutral,Slightly Oppose,Slightly Favor,Slightly Favor,Somewhat Favor,Somewhat Favor,Slightly Favor,HighSESManipulation
2021-07-18 12:09:02,2021-07-18 12:18:59,IP Address,98.251.80.194,100,597,True,2021-07-18 12:19:00,R_2VOTPQv16wAl0lG,,,,,33.899200439453125,-84.85720062255859375,anonymous,EN,Yes,50,Male,,White,,Spiritual,,Slight Liberal,"$60,000 to $69,999",Master's Degree,Bachelor's Degree,,,,,,Jeff Bezos,Bill Gates,Warren Buffett,1,A,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Moderately Agree,Strongly Agree,Neutral,Slightly Disagree,Slightly Agree,Neutral,Slightly Disagree,Moderately Disagree,Strongly Disagree,Moderately Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,80,80,70,70,70,80,80,80,80,C,Slightly Agree,Slightly Agree,Slightly Disagree,Moderately Disagree,Neutral,Slightly Agree,Moderately Disagree,Strongly Disagree,Slightly Agree,Moderately Disagree,Slightly Agree,Neutral,Slightly Agree,Strongly Disagree,Neutral,Slightly Disagree,Slightly Disagree,Strongly Oppose,Strongly Oppose,Somewhat Oppose,Somewhat Oppose,Somewhat Favor,Somewhat Favor,Strongly Favor,Strongly Favor,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Slightly Favor,LowSESManipulation
2021-07-19 15:50:08,2021-07-19 16:00:44,IP Address,73.151.130.244,100,636,True,2021-07-19 16:00:45,R_baugcXLjC2TBqFj,,,,,36.7335968017578125,-120.0738983154296875,anonymous,EN,Yes,43,Male,,White,,Other Christian,,Moderate Conservative,"$90,000 to $99,999",Associate's Degree,Bachelor's Degree,,,,,,famous people,CEO,Owners of top business,4,A,Slightly Disagree,Slightly Disagree,Slightly Disagree,Strongly Disagree,Slightly Disagree,Strongly Agree,Moderately Agree,Neutral,Slightly Disagree,Slightly Disagree,Moderately Disagree,Moderately Agree,Slightly Disagree,Slightly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,82,82,83,100,100,75,84,51,30,C,Moderately Agree,Slightly Agree,Slightly Agree,Neutral,Neutral,Strongly Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,Neutral,Moderately Agree,Moderately Disagree,Slightly Disagree,Moderately Disagree,Moderately Agree,Neutral,Slightly Disagree,Slightly Favor,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Somewhat Favor,Neutral,Somewhat Oppose,Somewhat Oppose,Somewhat Oppose,Neutral,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Slightly Favor,LowSESManipulation
2021-07-19 19:41:02,2021-07-19 19:50:27,IP Address,66.42.134.22,100,564,True,2021-07-19 19:50:27,R_1MKhIRbKE9zl3oV,,,,,39.3433990478515625,-84.40090179443359375,anonymous,EN,Yes,41,Female,,White,,Other (Please Specify),none,Moderate Conservative,"$100,000 to $149,999",High School Diploma,Bachelor's Degree,homeless,invalid,prisoners,8,A,,,,,,Slightly Agree,Moderately Disagree,Slightly Disagree,Moderately Agree,Moderately Disagree,Strongly Agree,Strongly Disagree,Moderately Disagree,Slightly Agree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Strongly Disagree,Moderately Disagree,Strongly Disagree,Moderately Disagree,Strongly Disagree,Moderately Disagree,Neutral,75,75,70,70,80,80,75,75,75,C,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Disagree,Neutral,Moderately Disagree,Slightly Disagree,Moderately Disagree,Neutral,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Neutral,Moderately Disagree,Strongly Disagree,Strongly Oppose,Strongly Oppose,Somewhat Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Somewhat Favor,Somewhat Favor,Strongly Oppose,Strongly Oppose,Strongly Oppose,Somewhat Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Slightly Favor,HighSESManipulation
2021-07-23 07:19:26,2021-07-23 07:50:49,IP Address,165.225.56.116,100,1882,True,2021-07-23 07:50:49,R_1GTH8ni7kB7Iqya,,,,,41.83880615234375,-87.78910064697265625,anonymous,EN,Yes,23,Male,,White,,Catholic,,Strong Conservative,"$80,000 to $89,999",Bachelor's Degree,Some College,,,,,,"At the very top of this ladder, #10, I think of the top 0.5% of people in the US. Very very successful business owners and billionaires.  I am no where near these people and I don't think I ever will be bear them. I'm being very realistic, those people are one of a kind and there's a reason they're at the top 0.5%. ","I think stepping down to #8 or 9, I think of these people as more very successful people and athletes and entertainers are what come to mind. If you don't have some huge company or some very high up job, these are the people that come to mind and they make a killing obviously. Looking at Lebron James and Michael Jordan, these guys are BILLIONAIRES for shooting a basketball and growing a brand. This to me is the step below the top 0.5%.","When thinking about #6 and 7, I think of high up business people, executives, such high roles like that. I don't think they're making as much as most pro athletes but they're still make tons and tons of money. ",1,A,Slightly Agree,Slightly Disagree,Neutral,Slightly Disagree,Moderately Disagree,Strongly Agree,Slightly Disagree,Slightly Disagree,Neutral,Slightly Disagree,Neutral,Moderately Disagree,Moderately Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Neutral,85,85,65,75,85,50,90,65,60,C,Moderately Agree,Moderately Disagree,Strongly Agree,Slightly Disagree,Neutral,Slightly Disagree,Neutral,Neutral,Slightly Agree,Neutral,Neutral,Slightly Agree,Neutral,Moderately Disagree,Neutral,Slightly Disagree,Slightly Disagree,Slightly Oppose,Somewhat Oppose,Somewhat Oppose,Somewhat Oppose,Slightly Favor,Somewhat Favor,Neutral,Slightly Favor,Slightly Oppose,Slightly Oppose,Neutral,Neutral,Slightly Favor,Neutral,Neutral,Slightly Favor,Slightly Favor,LowSESManipulation
2021-07-23 17:58:03,2021-07-23 18:07:42,IP Address,24.239.217.38,100,578,True,2021-07-23 18:07:42,R_31aUeJcp0z7hrF2,,,,,41.1316070556640625,-80.7593994140625,anonymous,EN,Yes,44,Female,,White,,Spiritual,,Moderate Liberal,"$150,000 or more",Associate's Degree,High School Diploma,Those who are living in food scarcity areas and have limited income for food and shelter and have limited access to job opportunities.,Young adults who are recently graduated who don't have the opportunity to pay for specialized training to gain a skill or attend college.,"Those who are suffering medically and don't have sufficient healthcare coverage and are unable to work. ",6,A,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Moderately Agree,Strongly Agree,Moderately Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Moderately Agree,Moderately Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,100,60,100,30,100,100,100,100,100,C,Slightly Agree,Neutral,Slightly Agree,Neutral,Neutral,Slightly Disagree,Strongly Agree,Moderately Agree,Slightly Agree,Moderately Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Neutral,Slightly Agree,Moderately Disagree,Slightly Disagree,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Neutral,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Slightly Favor,HighSESManipulation
2021-07-24 23:39:38,2021-07-24 23:47:28,IP Address,208.81.216.8,100,469,True,2021-07-24 23:47:28,R_szk7lndeLTmh8DD,,,,,39.19940185546875,-84.5260009765625,anonymous,EN,Yes,34,Female,,White,,Prefer Not To Answer,,Neutral,"$60,000 to $69,999",High School Diploma,High School Diploma,unemployeed,disabled,illegal alien,6,A,,,,,,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Strongly Agree,Slightly Agree,Moderately Agree,Moderately Disagree,Slightly Agree,Slightly Agree,Moderately Disagree,Moderately Disagree,Moderately Agree,Slightly Disagree,Slightly Disagree,Strongly Disagree,Strongly Disagree,Neutral,100,100,100,100,100,100,100,100,100,C,Neutral,Slightly Agree,Neutral,Slightly Agree,Slightly Agree,Strongly Disagree,Slightly Agree,Strongly Disagree,Slightly Agree,Moderately Disagree,Slightly Agree,Moderately Disagree,Slightly Agree,Strongly Disagree,Slightly Agree,Strongly Disagree,Moderately Disagree,Strongly Oppose,Slightly Oppose,Slightly Oppose,Slightly Oppose,Slightly Oppose,Somewhat Favor,Somewhat Favor,Somewhat Favor,Somewhat Oppose,Neutral,Slightly Oppose,Slightly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Slightly Favor,HighSESManipulation
2021-07-24 16:45:08,2021-07-25 19:26:09,IP Address,66.61.82.56,100,96060,True,2021-07-25 19:26:09,R_OJ2eBCNa84hpTwd,,,,,41.876800537109375,-80.783599853515625,anonymous,EN,Yes,38,Female,,White,,Other Christian,,Moderate Liberal,"$100,000 to $149,999",Some College,Bachelor's Degree,,,,,,Politicians,CEOs,Professional athletes/musicians/actors,4,A,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Strongly Agree,Slightly Agree,Moderately Agree,Moderately Disagree,Slightly Agree,Slightly Agree,Moderately Disagree,Strongly Disagree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Neutral,80,80,80,80,80,80,80,80,80,C,Slightly Agree,Neutral,Neutral,Neutral,Slightly Agree,Moderately Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,,Slightly Disagree,Slightly Agree,Moderately Disagree,Slightly Disagree,Strongly Oppose,Somewhat Oppose,Somewhat Oppose,Somewhat Oppose,Somewhat Favor,Somewhat Favor,Slightly Favor,Slightly Favor,Somewhat Oppose,Somewhat Oppose,Somewhat Oppose,Somewhat Oppose,Somewhat Favor,Somewhat Favor,Somewhat Favor,Somewhat Favor,Slightly Favor,LowSESManipulation
2021-07-26 00:35:15,2021-07-26 00:41:49,IP Address,172.1.246.39,100,393,True,2021-07-26 00:41:49,R_entKcvhYrHfF9WV,,,,,40.114898681640625,-82.90540313720703125,anonymous,EN,Yes,19,Non-Binary,,Black or African American,,Agnostic,,Extreme Liberal,"$90,000 to $99,999",Associate's Degree,Some College,black trans women,black women,black men,2,A,,,,,,,,,,,,,,,,,,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,93,15,85,10,77,90,76,91,92,C,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Slightly Disagree,Somewhat Favor,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Slightly Favor,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Slightly Favor,HighSESManipulation
2021-07-27 10:30:05,2021-07-27 10:37:20,IP Address,108.192.83.166,100,435,True,2021-07-27 10:37:20,R_2CvLrZ05dgNZ4I6,,,,,41.315399169921875,-81.62149810791015625,anonymous,EN,Yes,20,Female,,White,,Catholic,,Moderate Conservative,"$90,000 to $99,999",Bachelor's Degree,Some College,,,,,,Amazon CEO,"Billionares ","Celebrities ",4,A,Slightly Agree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Neutral,Neutral,Strongly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Moderately Disagree,Moderately Disagree,Neutral,100,100,100,100,100,100,100,100,100,C,Moderately Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Neutral,Slightly Disagree,Moderately Agree,Neutral,Slightly Agree,Neutral,Neutral,Neutral,Slightly Agree,Neutral,Slightly Agree,Neutral,Slightly Disagree,Slightly Favor,Slightly Favor,Slightly Favor,Slightly Favor,Slightly Favor,Strongly Favor,Somewhat Favor,Neutral,Slightly Oppose,Slightly Oppose,Slightly Oppose,Neutral,Slightly Favor,Neutral,Slightly Favor,Neutral,Slightly Favor,LowSESManipulation
2021-07-28 01:58:49,2021-07-28 02:08:51,IP Address,74.215.21.2,100,602,True,2021-07-28 02:08:52,R_3q8xr6UAQsRcqBa,,,,,39.241302490234375,-84.545501708984375,anonymous,EN,Yes,24,Female,,Black or African American,,Other Christian,,Moderate Liberal,"$30,000 to $39,999",Some College,High School Diploma,,,,,,Billionaires like Jeff Bezos and Elon Musk,Millionaires,Upper middle class and rich/well-off,2,A,,,,,,,,,,,,,Strongly Disagree,Strongly Agree,Strongly Disagree,Moderately Disagree,Strongly Disagree,Strongly Disagree,Neutral,80,70,80,29,75,80,50,80,80,C,Strongly Disagree,Moderately Agree,Moderately Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Slightly Disagree,Neutral,Moderately Agree,Moderately Disagree,Neutral,Strongly Disagree,Slightly Disagree,Strongly Disagree,Moderately Agree,Moderately Agree,Slightly Disagree,Strongly Oppose,Strongly Oppose,Neutral,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Somewhat Favor,Strongly Oppose,Strongly Oppose,Strongly Oppose,Somewhat Oppose,Strongly Favor,Strongly Favor,Somewhat Favor,Somewhat Favor,Slightly Favor,LowSESManipulation
2021-07-28 16:23:51,2021-07-28 16:34:14,IP Address,198.245.215.4,100,622,True,2021-07-28 16:34:14,R_1pGw4H3qhmMyPaf,,,,,38.7946929931640625,-82.92859649658203125,anonymous,EN,Yes,34,Female,,White,,Other Christian,,Moderate Conservative,"$100,000 to $149,999",High School Diploma,High School Diploma,Homeless people,People with drug addictions,Criminals,1,A,,,,,,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Moderately Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Strongly Disagree,Moderately Disagree,Strongly Disagree,Neutral,100,100,100,100,100,100,100,100,100,C,Moderately Agree,Neutral,Strongly Agree,Neutral,Moderately Agree,Strongly Disagree,Slightly Agree,Strongly Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,Strongly Disagree,Moderately Agree,Strongly Disagree,Slightly Disagree,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Oppose,Slightly Oppose,Slightly Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Slightly Favor,Somewhat Favor,Somewhat Favor,Slightly Favor,HighSESManipulation
2021-07-21 20:21:34,2021-07-21 20:21:47,IP Address,66.42.134.22,6,13,False,2021-07-28 20:21:48,R_1F3d7S4WtG3x5QJ,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-29 12:39:09,2021-07-29 13:14:03,IP Address,165.214.11.76,100,2093,True,2021-07-29 13:14:03,R_xGv4cTCR3blHNAt,,,,,36.0048065185546875,-86.78859710693359375,anonymous,EN,Yes,27,Female,,White,,Other Christian,,Moderate Conservative,"$150,000 or more",Some College,Some College,,,,,,"PRESIDENT'S ","CEO'S ","PROFESSIONAL ATHLETES ",5,A,Strongly Disagree,Strongly Disagree,Moderately Disagree,Moderately Agree,Slightly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Moderately Disagree,Slightly Disagree,Neutral,Neutral,Moderately Disagree,Neutral,Neutral,Neutral,48,50,35,80,40,48,50,12,0,C,Strongly Agree,Neutral,Moderately Agree,Neutral,Neutral,Moderately Disagree,Neutral,Slightly Disagree,Moderately Agree,Slightly Disagree,Neutral,Moderately Disagree,Neutral,Neutral,Slightly Agree,Slightly Disagree,Slightly Disagree,Neutral,Neutral,Slightly Oppose,Somewhat Oppose,Slightly Favor,Slightly Favor,Neutral,Slightly Favor,Slightly Oppose,Slightly Oppose,Slightly Oppose,Slightly Oppose,Slightly Favor,Slightly Favor,Slightly Favor,Slightly Favor,Slightly Favor,LowSESManipulation
2021-07-31 07:35:14,2021-07-31 07:42:41,IP Address,76.189.73.114,100,446,True,2021-07-31 07:42:41,R_2U0dVf4oe0lDroB,,,,,41.3957061767578125,-81.81569671630859375,anonymous,EN,Yes,,Female,,White,,Catholic,,Slight Conservative,"$80,000 to $89,999",Some College,Master's Degree,migrant workers,fast food employees,homeless,6,A,,,,,,Moderately Agree,Slightly Agree,Slightly Agree,Moderately Disagree,Neutral,Strongly Agree,Slightly Agree,Neutral,Neutral,Slightly Agree,Neutral,Moderately Disagree,Moderately Disagree,Moderately Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,99,100,100,100,100,100,100,100,100,C,Moderately Disagree,Neutral,Moderately Agree,Slightly Agree,Slightly Agree,Neutral,Moderately Agree,Moderately Disagree,Slightly Agree,Moderately Disagree,Slightly Agree,Moderately Disagree,Moderately Agree,Neutral,Slightly Agree,Moderately Disagree,Slightly Disagree,Strongly Oppose,Slightly Oppose,Neutral,Strongly Oppose,Somewhat Favor,Slightly Oppose,Strongly Favor,Slightly Favor,Somewhat Oppose,Slightly Oppose,Slightly Favor,Slightly Favor,Somewhat Favor,Neutral,Somewhat Favor,Slightly Favor,Slightly Favor,HighSESManipulation
