"","Age","Gender","Race","Religion","Politics","SES","Education","Response_1","Response_2","Response_3","Rank","RGP_1","RGP_2","RGP_3","RGP_4","RGP_5","RGP_6","RGP_7","RGP_8","RGP_9","Condition","sdo_mean","wps_mean","wg_mean","mrs_mean","cse_total","cse_private","cse_public","cse_membership","cse_identity"
"14","20","Female","White","Atheist",2,3,"Associate's Degree","people who hold economic power-corporate business owners","people who have high security and salary from the government","people who run universities","4","64","71","57","1","32","67","64","60","57","LowSESManipulation",4.0625,5.2,5.2,2.66666666666667,4.125,4.75,5.25,4.25,2.25
"15","18","Female","White","no affiliation",2,11,"Master's Degree","Houseless Individuals ","Trans black women ","Low income households (youth)","8","100","100","100","71","100","100","90","100","100","HighSESManipulation",1.5,6.4,6.4,1,4.375,4.25,5.75,4.5,3
"16","18","Female","White","Atheist",2,9,"High School Diploma","minimum wage workers","orphans/foster children","unemployed","6","100","75","100","50","86","100","93","100","100","HighSESManipulation",2.75,6,5.2,2.83333333333333,4.25,4.75,4.5,4.5,3.25
"17","18","Female","White","Lutheran ",7,12,"Bachelor's Degree","Bill Gates","Jeffrey Bezos","Warren Buffett","2","80","80","80","80","80","80","80","80","80","LowSESManipulation",2.8125,3.6,2.2,2,4.875,7,2.5,6.25,3.75
"18","19","Female","White","Prefer Not To Answer",5,NA,"Associate's Degree","Homeless - no job or home or wealth ","Orphans - abandoned / not given same lifestyle ","Criminals - lowest in morals/ ethics ","7","50","50","50","50","50","50","50","50","50","HighSESManipulation",1.875,5,2.4,2.5,4.625,6.25,5,6.25,1
"19","20","Female","White","Catholic",9,6,"Master's Degree","Government","President","FBI","2","50","52","50","50","50","21","50","50","50","LowSESManipulation",2.0625,1.8,1.8,3.33333333333333,5.25,6.25,6,6.75,2
"20","19","Female","White","Other Christian",5,11,"Master's Degree","Celebrities","Business Men","CEO's","5","100","100","100","100","100","100","100","100","100","LowSESManipulation",2.0625,5.8,4.4,1.83333333333333,5.375,6.25,6,5.5,3.75
"21","19","Female","White","Prefer Not To Answer",5,3,"Associate's Degree","my mom ","my brother ","my boyfriend ","8","80","80","50","50","50","29","70","50","50","LowSESManipulation",4.5625,3.5,3.6,4.16666666666667,3.875,4.75,3.5,4,3.25
"22","19","Female","White","Other Christian",7,11,"Bachelor's Degree","the homeless","those who have to work to help family income and cannot attend school","those in foster care","7","100","100","100","100","100","100","100","36","88","HighSESManipulation",2.3125,5,5.8,1.16666666666667,4.8125,6.25,5.75,5.75,1.5
"23","43","Male","White","Spiritual",6,7,"High School Diploma","Hedgefund managers","Surgeon ","Tech CEO","4","50","50","50","25","25","34","50","51","50","LowSESManipulation",2.1875,5,2.6,1.83333333333333,4.875,7,6,5.5,1
"24","28","Female","White","Spiritual",3,5,"Some College","Hispanic","African American","African","6","100","100","100","100","100","100","100","100","100","HighSESManipulation",1.1875,2,4,1.5,3.375,4,4.75,3.5,1.25
"25","","Female","White","Agnostic",2,6,"High School Diploma","world leaders","the rich","Caucasian men","5","100","97","100","100","100","100","100","100","100","LowSESManipulation",2.125,7,6.8,1.33333333333333,4.3125,4.5,3.5,5.25,4
"26","40","Female","White","Evangelical Christian",7,11,"Some College","Drug Addicts ","Homeless","Those who rely mainly on government assistance","7","80","80","80","80","80","80","80","80","80","HighSESManipulation",1.75,4.6,2.8,1.5,4.3125,5.5,4,6.75,1
"27","18","Female","White","Catholic",7,4,"Bachelor's Degree","famous people","smart people","hardworking people","6","100","100","100","100","100","100","100","100","100","LowSESManipulation",1.875,5.2,4.8,2,4.9375,6.75,5,5.5,2.5
"28","18","Female","White","Other Christian",3,11,"Master's Degree","The homeless","The immigrants","The low-income","6","80","90","70","60","60","45","80","50","65","HighSESManipulation",3.8125,7,5.8,3,5.75,6,6,5.75,5.25
"29","","Female","White","Protestant Christian",7,12,"Some College","celebrities ","political figures ","rich people","7","100","100","100","100","100","100","100","100","100","LowSESManipulation",1.875,6,6.4,1.33333333333333,3.75,4,5.5,3.5,2
"30","","Female","White","Other Christian",3,11,"Bachelor's Degree","people in Appalachia ","people in poverty","some people of color ","8","50","50","50","50","50","50","50","50","50","HighSESManipulation",1.875,6.2,6.2,1.16666666666667,3.625,4.25,3.5,4.25,2.5
"31","18","Female","White","Other Christian",7,11,"Master's Degree","Those in poor households with many children","Those struggling to put food on the table","Those in poor income households who just lost their job","8","100","100","100","100","100","100","100","100","100","HighSESManipulation",2.3125,5.2,4,1.33333333333333,5.25,6.5,4.75,6.25,3.5
"32","30","Female","White","Prefer Not To Answer",5,3,"High School Diploma","my boss","my mother","my old manager","5","100","100","100","50","100","100","100","100","100","LowSESManipulation",1.9375,3.4,4.8,1.33333333333333,4.0625,3.75,4.25,4.25,4
"33","20","Male","White","Islam",3,6,"High School Diploma","the homeless","prisoners","minimum wage workers in new york","4","100","100","100","40","35","70","90","100","100","HighSESManipulation",2.75,4,5.4,1.83333333333333,3.8125,4.25,4.5,4.25,2.25
"34","25","Female","White","Spiritual",3,11,"High School Diploma","Politicians ","Rich","Whites","7","83","56","82","50","85","85","85","84","86","LowSESManipulation",1.0625,6.2,6.4,1.33333333333333,3.8125,3.25,5.5,4.5,2
"35","19","Male","White","Protestant Christian",7,9,"Some College","Individuals that are addicted to illegal drugs","Individuals with chronic medical issues","Individuals that are not educated","8","90","100","100","91","91","91","91","91","85","HighSESManipulation",2.3125,5.6,3,2.5,5.625,7,5.25,6.75,3.5
"36","19","Male","White","Prefer Not To Answer",4,10,"Bachelor's Degree","billionaires","Political leaders","A-list Celebrities","6","100","100","100","100","100","100","100","100","100","LowSESManipulation",1.875,3.2,2.6,1,4.1875,5.5,5.5,4.75,1
"37","19","Female","White","Other Christian",4,12,"Some College","Jeff Bezos","Elon Musk","Bill Gates","5","100","100","100","100","100","100","100","100","100","LowSESManipulation",2.875,4.6,5.4,3.5,4.4375,4.25,5,5,3.5
"38","20","Female","White","Spiritual",6,5,"Associate's Degree","Politicians ","Higher class ","Celebrities ","5","92","92","92","92","90","91","92","87","50","LowSESManipulation",1.8125,5,4.6,1,5.125,6.25,5.25,5,4
"39","18","Female","White","Agnostic",6,11,"Bachelor's Degree","People in poverty","People in third world countries","Homeless people","6","100","70","90","100","100","100","100","100","100","HighSESManipulation",1.3125,7,5.8,1,4.0625,4,5,4,3.25
"40","18","Female","White","Pagan",4,4,"High School Diploma","Homeless people","Convicts","Hospital patients who aren't able to get a job","6","90","90","90","80","90","90","90","90","90","HighSESManipulation",1.0625,5.8,3.6,1.33333333333333,3.875,3.75,6,4,1.75
"41","18","Female","White","Other Christian",5,12,"Master's Degree","million/bilionaires ","teachers, electricians , ect (middle class)","homeless, poverished ( low class)","7","100","100","100","100","100","100","100","100","100","LowSESManipulation",1.4375,2.4,5,2.16666666666667,3.4375,4.75,4,4,1
"42","18","Male","White","Atheist",3,8,"Associate's Degree","Wealthy ","Celebrities ","Politicians ","4","80","80","80","50","80","90","50","68","85","LowSESManipulation",2.25,6.8,5.6,1.66666666666667,3.6875,3.75,4.25,4.5,2.25
"43","","Female","White","Catholic",3,11,"Master's Degree","Homeless People","People Of Color","Woman ","7","100","100","100","100","100","100","100","100","100","HighSESManipulation",1.6875,7,5.2,1,4.0625,4.25,4.25,4,3.75
"44","18","Male","White","Agnostic",6,7,"High School Diploma","Work Shy Individuals","those who have been raised in the bottom class","drug addicts","5","60","50","50","","50","40","50","60","60","HighSESManipulation",4,3,4.6,3.33333333333333,4.125,5,3.5,5,3
"45","21","I'm female and I don't believe in gender identities","White","Atheist",2,11,"Bachelor's Degree","Trust fund babies","Disney family","CEOs","9","50","45","50","50","50","50","50","50","50","LowSESManipulation",1.625,7,4.4,1.16666666666667,5.125,5,7,6.25,2.25
"46","18","Female","White","Catholic",3,12,"Master's Degree","The wealthy","white men","people who have political power ","6","100","100","100","100","100","100","100","100","100","LowSESManipulation",1.125,6.2,7,1,4.25,4.25,5.25,4,3.5
"47","18","Female","White","Prefer Not To Answer",4,12,"Some College","adult fast food workers","homeless people","janitors","6","81","81","69","71","64","74","100","89","64","HighSESManipulation",1.5,5.6,6,1,4.875,5,7,5,2.5
"48","27","Female","White","Other Christian",5,5,"Associate's Degree","Surgeons","Political Ambassadors","Neurologists","3","82","85","70","85","85","80","85","85","80","LowSESManipulation",1.3125,6,5.6,1.33333333333333,5,6,5,5.75,3.25
"49","18","Female","White","Atheist",5,2,"Associate's Degree","people that are homeless ","People with no education ","People that are barely making it past ","6","75","80","71","71","94","74","64","36","82","HighSESManipulation",3.75,6.6,4.8,2.66666666666667,4.0625,5,5.5,4,1.75
"50","18","Female","White","Agnostic",3,12,"Doctoral or Professional Degree (i.e., Ph.D., M.D., J.D.","employees at fast food restaurants that are old enough to have a better education ","Truck drivers that sleep in their trucks and never go home to their families, or they don't have families","People stuck in poor areas with no good access to education","8","71","72","61","50","50","76","76","100","51","HighSESManipulation",2.0625,6.8,5.6,1.5,4.9375,5,6.25,5.5,3
"51","18","Female","White","Atheist",2,12,"Bachelor's Degree","Jeff Bezos","High A-List celebrities","Major CEOs","5","100","100","100","96","100","100","100","100","100","LowSESManipulation",1.1875,6.8,1.4,1,4.875,6.5,4.5,5.75,2.75
"52","19","Prefer Not To Answer","White","Atheist",3,11,"Some College","people in poverty ","teachers","forest rangers","6","100","79","96","26","67","88","79","94","94","HighSESManipulation",1.5625,6,5.2,1.16666666666667,3.8125,4.5,4.5,4,2.25
"53","18","Male","White","Spiritual",5,11,"High School Diploma","The extremely rich","Powerful ","smart","6","100","100","100","100","100","100","100","100","100","LowSESManipulation",1.875,4.2,5,1.66666666666667,4.125,4,4.75,4.75,3
"54","20","Female","White","Catholic",3,8,"Bachelor's Degree","Homeless people ","High school dropouts ","Hard labor jobs ","7","100","100","100","100","100","100","100","90","80","HighSESManipulation",1.3125,6.8,6.4,1.16666666666667,3.125,2.75,3,4,2.75
"55","18","Female","White","Prefer Not To Answer",5,4,"Some College","homeless","African American","disabled","6","100","100","100","100","100","100","100","100","100","HighSESManipulation",1.9375,5,4,2.33333333333333,3.1875,3,3.5,4.5,1.75
"56","32","Female","White","Spiritual",5,5,"Less Than High School","Inner City African Americans","Homeless","Children In the System","5","80","80","70","20","60","100","100","100","100","HighSESManipulation",1.0625,5,3.4,1.16666666666667,3.6875,4.25,5,4.5,1
"57","18","Female","White","Catholic",6,10,"Bachelor's Degree","Rich people","Politicians","Celebrities","5","50","50","50","50","50","50","50","50","50","LowSESManipulation",3.9375,4.2,4,3.33333333333333,4.125,5,3.75,4.75,3
"58","20","Male","White","Evangelical Christian",6,8,"High School Diploma","Homeless people","Entry-level factory workers","single moms","5","80","90","65","85","83","51","90","85","70","HighSESManipulation",3.9375,3.6,3.8,3.83333333333333,4.5,5.75,5.25,4.25,2.75
"59","19","Male","White","Prefer Not To Answer",6,2,"Associate's Degree","kings and queens","athletes ","presidents or leaders","3","69","70","70","70","70","71","70","70","70","LowSESManipulation",4.0625,3,3,4,4.125,5.25,4.5,4.5,2.25
"60","47","Female","White","Prefer Not To Answer",5,12,"Less Than High School","Hispanics, African American, minorities in general","Women","Children","4","95","78","50","50","50","50","50","50","50","HighSESManipulation",3.5625,5,5,3.66666666666667,3.625,4,4,4,2.5
"61","18","Female","White","Spiritual",6,10,"Bachelor's Degree","homeless ","fast food workers ","drug addicts ","7","100","100","100","50","100","72","100","100","100","HighSESManipulation",1.875,6,6.4,1.66666666666667,6.3125,7,6.75,6.75,4.75
"62","","Female","White","Other Christian",3,11,"Associate's Degree","African Americans","Poverty Line ","Welfare Recipients","5","91","72","86","83","91","62","62","62","62","HighSESManipulation",1.5,5.8,3.4,1,3.375,4,4,4.5,1
"63","25","Female","White","Atheist",2,3,"High School Diploma","famous peple","doctors","lawyers","3","82","51","30","17","10","100","79","70","85","LowSESManipulation",2.3125,2.8,5,1.83333333333333,2.8125,3.25,4,3,1
"64","18","Female","White","Spiritual",2,6,"High School Diploma","Men","White people","Heterosexuals ","4","100","36","100","6","100","100","100","100","100","LowSESManipulation",1.26666666666667,6.6,6,1,3.8125,3.25,5,4.75,2.25
"65","18","Female","White","Other Christian",6,10,"Some College","homeless, those whom have to find food in the trash to eat, people who can't support themselves. ","People with minimum wage jobs, those who cannot afford extra spending money ","Those who can spend money without thinking, do not check price tags, paid off mortgage","6","94","77","73","92","79","72","77","19","5","HighSESManipulation",2.75,4.8,6.2,1.66666666666667,3.75,3.75,3.25,4,4
"66","28","Female","White","Agnostic",8,6,"Less Than High School","low income","criminals","illegal immigrants","8","50","50","50","20","50","50","50","50","50","HighSESManipulation",3.75,1,1.6,4,3.6875,5,4,4,1.75
"67","18","Male","White","Catholic",7,12,"High School Diploma","Politicians ","Government officials ","Rich and wealthy ","4","100","100","88","100","69","20","100","51","25","LowSESManipulation",3.625,4,4.6,4.16666666666667,4.625,4.75,4.25,4.75,4.75
"68","21","Female","White","I don't identify with any religion.",1,3,"Some College","People of Color","The Homeless","Those in jail","7","95","30","81","20","90","100","80","100","95","HighSESManipulation",2.125,7,7,1,3.75,2.5,6.75,4.25,1.5
"69","19","Female","White","Prefer Not To Answer",3,12,"Master's Degree","Rich billionaires like Jeff Bezos, Elon Musk and Mark Zuckerberg","Kids who are born into wealthy families","Doctors and lawyers","6","100","75","100","40","100","100","92","100","100","LowSESManipulation",2.125,6.8,6.8,1,4.0625,3.5,5,5.25,2.5
"70","20","Female","White","Catholic",7,9,"Master's Degree","People without an education","People of color","women","6","100","100","100","100","100","100","100","100","91","HighSESManipulation",2.4375,5.6,5.8,1.83333333333333,5.375,6.75,6,6,2.75
"71","","Female","White","Other Christian",5,3,"High School Diploma","The president, ","Actors","Singers","1","55","68","62","75","59","65","55","64","72","LowSESManipulation",2.375,3.8,2.6,3.83333333333333,4.125,5.5,4.5,3.75,2.75
"72","18","Female","White","Agnostic",2,8,"Bachelor's Degree","The homeless population","Those struggling with addiction","Those put into the foster care system","5","80","61","78","42","76","82","64","81","70","HighSESManipulation",1.6875,5.6,5.8,2.33333333333333,3.9375,4.25,4.75,4,2.75
"73","18","Male","White","Catholic",7,12,"Doctoral or Professional Degree (i.e., Ph.D., M.D., J.D.","Government officials ","The president ","Rich and famous people ","4","100","100","94","100","100","69","100","100","68","HighSESManipulation",4.375,4.2,4,2.83333333333333,4.5625,4.5,4.25,4.75,4.75
"74","18","Female","White","Catholic",3,10,"High School Diploma","THE KARDASHIANS","JEFF BEZOS","THE PRESIDENT","5","100","100","100","100","100","100","100","100","100","LowSESManipulation",2.75,5.6,6.4,2,3.0625,3.75,3,4.5,1
"75","19","Female","White","Catholic",5,6,"Bachelor's Degree","Women tend to be more at the bottom than men do","family's who didn't get the best guidance so it's hard for them to provide","mental illnesses, addiction","6","81","80","81","85","75","75","75","55","55","HighSESManipulation",3.6875,5.2,4.8,3,4.625,6,3.25,5,4.25
"76","18","Female","White","Agnostic",4,10,"Master's Degree","Transgender people","Immigrants","People with severe disabilities.","8","90","81","90","50","92","97","80","93","96","HighSESManipulation",1.4375,6.8,4.2,1.66666666666667,3.8125,4,5.25,3.75,2.25
"77","20","Female","White","Atheist",2,3,"Some College","CEO's","Docters","Politicians","4","100","60","100","","100","100","61","100","100","LowSESManipulation",1.375,5,5.8,1.33333333333333,3.625,3.75,5,4,1.75
"78","18","Female","White","Other Christian",3,11,"Master's Degree","Homeless People","People receiving minimum wage","Uneducated people","3","100","100","70","100","100","100","100","81","60","HighSESManipulation",2.9375,5,6.8,1.66666666666667,4.8125,5.25,4.5,4.75,4.75
"79","18","Female","White","Catholic",7,5,"Bachelor's Degree","famous","rich ","successful ","5","100","100","100","100","100","100","100","100","100","LowSESManipulation",1.4375,6.2,4,1.33333333333333,6.3125,7,5.25,6.75,6.25
"80","18","Female","White","Other Christian",8,7,"Bachelor's Degree","Celebrities","The rich","The powerful","6","100","100","86","100","100","100","100","100","100","LowSESManipulation",3.8125,3.6,4.6,3.5,4.1875,3.75,3.75,5.25,4
"81","18","Female","White","Catholic",4,10,"Master's Degree","Immigrants","Teen Parents","High School Dropouts","8","91","93","93","73","93","93","81","93","93","HighSESManipulation",2.0625,6,5.8,1.83333333333333,3.875,4,4.75,4.25,2.5
"82","19","Female","White","Other Christian",4,12,"Some College","Jeff Bezos","Bill Gates","Mark Zuckerberg","5","100","100","100","100","100","100","100","100","100","HighSESManipulation",3.4,4,5.2,2.66666666666667,4.5625,4,4.75,5.5,4
"83","19","Female","White","Catholic",1,9,"Bachelor's Degree","teachers","construction workers","janitors","4","100","100","100","90","100","100","100","100","100","HighSESManipulation",1.75,5.2,4.6,1.83333333333333,4.0625,4.25,5,4,3
"84","18","Non-Binary","White","Spiritual",1,10,"Bachelor's Degree","mentally-ill","those of color","physically disabled","5","100","0","100","0","100","100","27","75","50","HighSESManipulation",1,6.4,7,1,3.125,1,5,5.5,1
"85","18","Female","White","Catholic",5,11,"High School Diploma","leaders (politicians)","famous people","rich people","4","100","100","100","100","100","100","100","100","100","LowSESManipulation",1.625,3.6,4.6,1.83333333333333,3.375,4.5,4.25,3.75,1
"86","18","Female","White","Evangelical Christian",9,4,"Less Than High School","People who don't try to go and get help and a job.","People who expect the government to give them well-fare checks to pay for things. ","People who come from a ""bottom of the ladder"" family. ","8","70","90","70","95","95","40","80","","","HighSESManipulation",3.5,4.2,1.8,4.16666666666667,5.5625,7,5,7,3.25
"87","18","Male","White","Atheist",2,9,"Doctoral or Professional Degree (i.e., Ph.D., M.D., J.D.","The president ","Major corporation CEO","Celebrities ","6","50","45","50","30","50","100","45","50","50","LowSESManipulation",1.125,7,5.6,1.16666666666667,3.625,3.25,5,4.25,2
"88","18","Female","White","Atheist",2,9,"Some College","Jeff Bezos","Elon Musk","Steve Jobbs","3","100","100","100","82","100","100","100","100","100","LowSESManipulation",1,6.4,5.4,1,4.1875,5,5.75,4,2
"89","19","Female","White","Catholic",7,11,"Some College","Unemployed","Homeless ","I dont know","6","100","100","100","100","100","100","100","","","HighSESManipulation",2.4375,1,3.2,3.83333333333333,3.8125,4,4,4,3.25
"90","19","Female","White","Other Christian",3,10,"Bachelor's Degree","Homeless people  ","foster care children ","people living on food stamps poor income ","8","90","74","91","91","90","97","96","70","63","HighSESManipulation",2.125,5.6,6.2,1.66666666666667,3.875,3.5,4.5,4,3.5
"91","21","Female","White","Protestant Christian",8,5,"High School Diploma","High school dropouts with no job","Middle aged adults with 4 young kids that work a minimum wage job","People that bounce from low paying job to low paying job","4","100","100","100","100","100","86","100","100","100","HighSESManipulation",1.8125,2,3,3,5.3125,7,6,7,1.25
"92","18","Male","White","Agnostic",7,6,"High School Diploma","Politicians","Federal Government Officials ","State Government Officials ","5","60","50","50","0","50","30","50","60","60","LowSESManipulation",4.5,2.8,4.6,3,4.25,5,4,5,3
"93","18","Female","White","Catholic",5,4,"Master's Degree","Political figures","the famous","the rich","1","100","100","100","100","100","100","100","100","100","LowSESManipulation",3.25,5.2,4,2,4.1875,6,5,4.75,1
"94","19","Female","White","Agnostic",2,8,"Bachelor's Degree","Homeless People","Housekeepers","Fastfood employees","7","100","100","100","55","100","100","100","100","100","HighSESManipulation",2.25,7,7,2,4.0625,4.25,5,4.5,2.5
"95","18","Female","White","Agnostic",3,11,"Master's Degree","Actors","CEO’s","Government officials ","6","94","80","94","70","86","91","86","88","85","LowSESManipulation",2.8125,6.8,6,1.5,4.9375,5,5.25,5,4.5
"96","20","Female","White","Catholic",8,10,"Some College","prefer not to say","prefer not to say","prefer not to say","6","","","","","","","","","","HighSESManipulation",4,4,4,4.33333333333333,4,4,4,4,4
"97","18","Trans-Male","White","Agnostic",2,9,"Bachelor's Degree","The rich","White men","Corporate companies/owners of these companies ","5","90","90","80","80","80","90","85","100","90","LowSESManipulation",1.625,6.6,6.4,1,4.625,4,6.5,5.25,2.75
"98","19","Female","White","Protestant Christian",3,11,"Doctoral or Professional Degree (i.e., Ph.D., M.D., J.D.","Donald Trump + family","Elon Musk","Jeffery Bezos ","4","95","88","95","100","98","93","100","80","80","LowSESManipulation",2.6875,6,5.4,1.66666666666667,4.125,4.25,3.75,4.75,3.75
"99","18","Female","White","Prefer Not To Answer",5,3,"Some College","Those with no income","Those who cannot work (not by choice)","Those who simply do not want to work","4","100","100","100","100","100","100","100","100","100","HighSESManipulation",1.9375,4.6,2.2,1,3.625,4.75,4.75,4,1
"100","18","Female","White","Prefer Not To Answer",5,4,"Some College","Billionares","White people","male","6","100","100","100","100","100","100","100","100","100","LowSESManipulation",2.375,5,2.8,3.83333333333333,4.8125,5.5,5,5.25,3.5
"101","20","Genderfluid","White","wiccan/spiritual",3,12,"Associate's Degree","People with no high school degree or equivalent. ","People with little to no income.","People with less favorable jobs (although that is typically based on opinion)","4","100","20","100","75","100","100","95","100","100","HighSESManipulation",1.375,7,7,1,4,2.25,5,6,2.75
"102","18","Female","White","Catholic",5,6,"Doctoral or Professional Degree (i.e., Ph.D., M.D., J.D.","High school drop outs","(Certain) Ex-prisoners ","Some refugees","7","100","100","100","100","100","100","100","4","90","HighSESManipulation",1.375,4.6,5.8,1.66666666666667,5.125,7,4.75,7,1.75
"103","45","Female","White","Other Christian",6,9,"High School Diploma","Political people such as the President.","Famous People","Successful CEOs. ","5","95","90","95","95","95","100","100","98","96","LowSESManipulation",1.8125,2.4,5.2,2.33333333333333,3.5,4,4.5,4,1.5
"104","18","Female","White","Islam",7,10,"Master's Degree","People with low income ","People living in rigid areas ","Self-employed people ","7","100","100","100","100","100","100","100","100","100","HighSESManipulation",1,4.4,5.8,1,3.9375,4.75,6,4,1
"105","19","Female","White","Protestant Christian",3,10,"Bachelor's Degree","politicians","the rich ","celebrities","3","50","50","50","50","50","50","50","45","50","LowSESManipulation",2.6875,4.6,5,3,4.1875,4.5,4.25,3.75,4.25
"106","19","Female","White","Agnostic",2,8,"Master's Degree","Jeff Bezos","Elon Musk","Bill Gates","4","100","100","100","48","100","100","100","100","100","LowSESManipulation",1.625,7,5.4,1,4.3125,4.25,7,4.75,1.25
"107","21","Female","White","Catholic",3,10,"Bachelor's Degree","Celebrities","Top political figures","Business men","2","95","75","50","50","50","95","95","95","95","LowSESManipulation",1.1875,6.4,5.6,1,5.125,6,7,5.75,1.75
"108","18","Male","White","Catholic",5,11,"High School Diploma","government officials ","President ","Rich and famous ","4","100","100","91","100","86","89","100","100","88","HighSESManipulation",3.875,3.2,4.2,4,3.9375,3.5,4,4.75,3.5
"109","18","Female","White","Other Christian",7,12,"Bachelor's Degree","homeless","gangs","people in the ghetto","7","100","100","59","94","25","48","100","21","21","HighSESManipulation",2.375,3.6,1.6,1,3.875,4.25,4.75,5.5,1
"110","19","Female","White","Other Christian",5,8,"Bachelor's Degree","People who are making lots of money would be at the top and have everything they want ","People of higher status such as the president and people that are involved ","People who are known for having a lot of money and being famous ","6","100","100","100","100","100","100","100","70","71","LowSESManipulation",2.3125,6.6,5.6,2.5,5.125,6.75,5.75,7,1
"111","18","Female","White","Other Christian",5,12,"Bachelor's Degree","homeless","prisioners","poverty","7","100","100","100","100","100","100","100","100","100","HighSESManipulation",2.625,6.8,6.4,1.83333333333333,4.8125,5.5,5.5,4.5,3.75
"112","20","Female","White","Agnostic",3,11,"High School Diploma","those in war-torn countries","homeless people","minority groups facing discrimination","7","50","50","50","50","50","50","50","50","50","HighSESManipulation",2,6.4,4.6,1.16666666666667,3.5625,4,4.5,4,1.75
"113","18","Female","White","Other Christian",6,9,"Associate's Degree","politicians","doctors","athletes/influencers","5","100","100","100","100","100","100","100","100","100","LowSESManipulation",1.4375,3.4,4,2,3.8125,6.75,4,3.5,1
"114","18","Female","White","Other Christian",4,3,"Bachelor's Degree","Low income families","Low income jobs","High school drop out","8","100","90","100","80","100","80","75","24","70","HighSESManipulation",1.375,3,3.2,1,4.375,4.75,4.5,4.75,3.5
"115","18","Female","White","Other Christian",5,7,"Associate's Degree","Celebrities ","Singers ","President ","4","100","100","100","100","100","97","100","50","50","LowSESManipulation",3.5625,5.8,3.6,2,3.9375,4.75,5,3.75,2.25
"116","18","Male","White","Catholic",7,9,"Master's Degree","Elon Musk","Jeff Bezos","Mark Sucherburg","7","100","100","40","100","100","90","100","100","100","LowSESManipulation",3.5625,4.8,3.4,4,5.3125,6.5,5.5,6.5,2.75
