StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,C1,D1,D2,D2_7_TEXT,D3,D3_8_TEXT,D4,D4_13_TEXT,D5_1,D6,D7,D8,SDO_1,SDO_2,SDO_3,SDO_4,SDO_5,SDO_6,SDO_7,SDO_8,SDO_9,SDO_10,SDO_11,SDO_12,SDO_13,SDO_14,SDO_15,SDO_16,SDO_17,Q37,Q36,Q35,Q38,Q26_1,Q32,Q33,Q34,Q29_1,Q39,WPS_1,WPS_2,WPS_3,WPS_4,WPS_5,WPS_6,WG_1,WG_2,WG_3,WG_4,WG_5,WG_6,MRS_1,MRS_2,MRS_3,MRS_4,MRS_5,MRS_6,MRS_7,RGP_1,RGP_2,RGP_3,RGP_4,RGP_5,RGP_6,RGP_7,RGP_8,RGP_9,Q40,CSER_1,CSER_2,CSER_3,CSER_4,CSER_5,CSER_6,CSER_7,CSER_8,CSER_9,CSER_10,CSER_11,CSER_12,CSER_13,CSER_14,CSER_15,CSER_16,CSER_17,SC0,FL_29_DO,SocialDominanceOrientation_DO,WhitePrivilegeScale_DO,WhiteGuiltScale_DO,ModernRacismScale_DO
2022-09-19 10:04:37,2022-09-19 10:15:03,IP Address,64.247.127.254,100,626,True,2022-09-19 10:15:03,R_40jz84S0mYS9Dwd,,,,,39.3184,-82.1012,anonymous,EN,Yes,18,Female,,White,,Spiritual,,Slight Conservative,"$90,000 to $99,999",Bachelor's Degree,Bachelor's Degree,Somewhat Oppose,Strongly Oppose,Somewhat Oppose,Strongly Oppose,Strongly Favor,Somewhat Favor,Strongly Favor,Neutral,Strongly Oppose,Strongly Oppose,Strongly Oppose,Slightly Oppose,Strongly Favor,Slightly Favor,Somewhat Favor,Neutral,Slightly Favor,"homeless ","fast food workers ","drug addicts ",A,7,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Moderately Disagree,Strongly Agree,Moderately Agree,Moderately Agree,Strongly Disagree,Moderately Agree,Strongly Agree,Moderately Disagree,Strongly Disagree,Slightly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,100,100,100,50,100,72,100,100,100,C,Moderately Agree,Moderately Agree,Slightly Disagree,Moderately Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Moderately Disagree,Strongly Agree,Moderately Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Slightly Disagree,246,HighSESManipulation,SDO,WPS,WG,MRS
2022-09-19 12:08:06,2022-09-19 12:23:24,IP Address,64.247.86.242,100,918,True,2022-09-19 12:23:25,R_1XkRNR2PxSNCe5P,,,,,39.3184,-82.1012,anonymous,EN,Yes,18,Non-Binary,,Black or African American,,Agnostic,,Moderate Liberal,"$50,000 to $59,999",Master's Degree,Bachelor's Degree,Slightly Favor,Somewhat Oppose,Neutral,Slightly Favor,Strongly Favor,Strongly Favor,Somewhat Favor,Somewhat Favor,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Somewhat Favor,Strongly Favor,Slightly Favor,,,,,,Millionaires that don't deserve money like Jeff Bezos and Mark Zukerberg,Bussines owners who own chain restaurants like the guy who stole McDonalds from the McDonald brothers,people born into wealth,5,A,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Moderately Disagree,Strongly Disagree,Moderately Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,100,50,100,10,81,100,70,100,100,C,Moderately Disagree,Moderately Agree,Strongly Disagree,Moderately Agree,Moderately Agree,Strongly Disagree,Moderately Disagree,Slightly Agree,Moderately Agree,Neutral,Neutral,Strongly Disagree,Moderately Disagree,Slightly Agree,Moderately Agree,Neutral,Slightly Disagree,238,LowSESManipulation,SDO,WPS,WG,MRS
2022-09-19 12:39:55,2022-09-19 12:48:06,IP Address,206.244.170.2,100,490,True,2022-09-19 12:48:06,R_1ff4EFKFrWPObsf,,,,,41.0328,-81.4388,anonymous,EN,Yes,,Female,,White,,Other Christian,,Moderate Liberal,"$100,000 to $149,999",Associate's Degree,Less Than High School,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Slightly Favor,Strongly Favor,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Slightly Favor,African Americans,"Poverty Line ",Welfare Recipients,A,5,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Strongly Agree,Moderately Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,91,72,86,83,91,62,62,62,62,C,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Neutral,Neutral,Moderately Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Slightly Disagree,227,HighSESManipulation,SDO,WPS,WG,MRS
2022-09-19 12:33:45,2022-09-19 13:01:44,IP Address,75.187.108.6,100,1679,True,2022-09-19 13:01:44,R_9AIIVTHxKcB1QZz,,,,,39.7184,-82.6073,anonymous,EN,Yes,25,Female,,White,,Atheist,,Strong Liberal,"$20,000 to $29,999",High School Diploma,High School Diploma,Somewhat Oppose,Somewhat Oppose,Somewhat Oppose,Neutral,Somewhat Oppose,Somewhat Favor,Slightly Favor,Slightly Oppose,Strongly Oppose,Somewhat Oppose,Somewhat Oppose,Somewhat Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Somewhat Favor,,,,,,famous peple,doctors,lawyers,3,A,Moderately Disagree,Moderately Disagree,Moderately Disagree,Neutral,Neutral,Strongly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Moderately Disagree,Strongly Disagree,Strongly Agree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Slightly Disagree,Neutral,82,51,30,17,10,100,79,70,85,C,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Slightly Agree,Moderately Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Slightly Disagree,Neutral,Slightly Disagree,209,LowSESManipulation,SDO,WPS,WG,MRS
2022-09-19 14:25:47,2022-09-19 14:34:53,IP Address,132.235.76.248,100,545,True,2022-09-19 14:34:53,R_1nNJjGbIG36q7aV,,,,,39.3184,-82.1012,anonymous,EN,Yes,18,Female,,White,,Spiritual,,Strong Liberal,"$50,000 to $59,999",High School Diploma,High School Diploma,Slightly Oppose,Somewhat Oppose,Somewhat Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Oppose,Strongly Oppose,Strongly Oppose,,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Slightly Favor,,,,,,Men,White people,"Heterosexuals ",4,A,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Slightly Agree,Strongly Agree,Moderately Agree,,Strongly Disagree,Slightly Agree,Moderately Agree,Moderately Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,100,36,100,6,100,100,100,100,100,C,Strongly Agree,Strongly Disagree,Moderately Disagree,Strongly Disagree,Moderately Agree,Moderately Agree,Strongly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,223,LowSESManipulation,SDO,WPS,WG,MRS
2022-09-19 08:00:36,2022-09-19 19:05:18,IP Address,132.235.97.235,100,39881,True,2022-09-19 19:05:18,R_1Qlx3kTYZKdBblw,,,,,39.8798,-83.0883,anonymous,EN,Yes,18,Female,,White,,Other Christian,,Slight Conservative,"$90,000 to $99,999",Some College,Bachelor's Degree,Neutral,Somewhat Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Slightly Favor,Somewhat Oppose,Neutral,Slightly Oppose,Slightly Favor,Somewhat Oppose,Somewhat Oppose,Strongly Favor,Somewhat Favor,Somewhat Favor,Slightly Oppose,Slightly Favor,"homeless, those whom have to find food in the trash to eat, people who can't support themselves. ","People with minimum wage jobs, those who cannot afford extra spending money ","Those who can spend money without thinking, do not check price tags, paid off mortgage",A,6,,,,,,Slightly Agree,Moderately Agree,Neutral,Moderately Disagree,Slightly Disagree,Strongly Agree,Moderately Agree,Moderately Agree,Strongly Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Disagree,Strongly Disagree,Strongly Disagree,Moderately Disagree,Neutral,94,77,73,92,79,72,77,19,5,C,Neutral,Neutral,Neutral,Neutral,Slightly Agree,Slightly Disagree,Moderately Disagree,Neutral,Neutral,Slightly Agree,Neutral,Neutral,Neutral,Slightly Agree,Moderately Disagree,Neutral,Slightly Disagree,234,HighSESManipulation,SDO,WPS,WG,MRS
2022-09-19 18:55:31,2022-09-19 19:06:29,IP Address,107.11.79.205,100,658,True,2022-09-19 19:06:29,R_3EEAGmniAV27pGG,,,,,39.9275,-82.0032,anonymous,EN,Yes,28,Female,,White,,Agnostic,,Strong Conservative,"$50,000 to $59,999",Less Than High School,High School Diploma,Strongly Favor,Neutral,Neutral,Neutral,Slightly Favor,Slightly Favor,Neutral,Neutral,Slightly Oppose,Slightly Oppose,Slightly Oppose,Somewhat Favor,Slightly Favor,Slightly Favor,Slightly Favor,Slightly Favor,Slightly Favor,low income,criminals,illegal immigrants,A,8,,,,,,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Moderately Disagree,Slightly Agree,Strongly Disagree,Strongly Disagree,Moderately Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,50,50,50,20,50,50,50,50,50,C,Moderately Agree,Moderately Disagree,Strongly Agree,Moderately Disagree,Neutral,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Slightly Disagree,Neutral,Neutral,Neutral,Neutral,Slightly Disagree,224,HighSESManipulation,SDO,WPS,WG,MRS
2022-09-19 19:44:42,2022-09-19 19:57:33,IP Address,64.247.127.254,100,771,True,2022-09-19 19:57:33,R_2CvLkQgCtIviyIW,,,,,39.3184,-82.1012,anonymous,EN,Yes,18,Male,,White,,Catholic,,Moderate Conservative,"$150,000 or more",High School Diploma,"Doctoral or Professional Degree (i.e., Ph.D., M.D., J.D.)",Neutral,Slightly Favor,Slightly Favor,Neutral,Slightly Favor,Neutral,Slightly Favor,Neutral,Somewhat Oppose,Neutral,Slightly Oppose,Slightly Oppose,Slightly Favor,Slightly Favor,Slightly Oppose,Slightly Favor,Slightly Favor,,,,,,"Politicians ","Government officials ","Rich and wealthy ",4,A,Slightly Agree,Neutral,Neutral,Slightly Agree,Neutral,Strongly Agree,Neutral,Slightly Agree,Neutral,Slightly Agree,Slightly Agree,Moderately Disagree,Slightly Disagree,Slightly Disagree,Neutral,Neutral,Slightly Agree,Neutral,Neutral,100,100,88,100,69,20,100,51,25,C,Neutral,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Neutral,Slightly Agree,Neutral,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Neutral,Slightly Disagree,255,LowSESManipulation,SDO,WPS,WG,MRS
2022-09-19 21:18:46,2022-09-19 21:34:43,IP Address,64.247.73.16,100,956,True,2022-09-19 21:34:44,R_5mSVv1jmLts2gmt,,,,,39.3184,-82.1012,anonymous,EN,Yes,18,Female,,"White,Black or African American",,Other (Please Specify),I am not sure.,Extreme Liberal,"$150,000 or more",Some College,Bachelor's Degree,Somewhat Oppose,Strongly Oppose,Somewhat Oppose,Somewhat Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Slightly Favor,,,,,,Jeff Bezos,Multimillion dollar CEO's,Bill Gates,4,A,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Slightly Agree,Strongly Agree,Neutral,Moderately Disagree,Slightly Disagree,Strongly Disagree,Moderately Agree,Moderately Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,100,100,100,100,100,100,100,100,100,C,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Slightly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Slightly Disagree,Strongly Agree,Slightly Disagree,Slightly Disagree,246,LowSESManipulation,SDO,WPS,WG,MRS
2022-09-20 07:59:53,2022-09-20 08:09:28,IP Address,104.0.247.2,100,575,True,2022-09-20 08:09:29,R_XkcwstpiUso6AcV,,,,,39.9648,-83.126,anonymous,EN,Yes,21,Female,,White,,Other (Please Specify),I don't identify with any religion.,Extreme Liberal,"$20,000 to $29,999",Some College,High School Diploma,Slightly Favor,Strongly Oppose,Slightly Oppose,Strongly Oppose,Strongly Favor,Somewhat Favor,Strongly Favor,Strongly Favor,Strongly Oppose,Strongly Favor,Strongly Oppose,Somewhat Favor,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Slightly Favor,People of Color,The Homeless,Those in jail,A,7,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Moderately Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,95,30,81,20,90,100,80,100,95,C,Moderately Agree,Strongly Disagree,Strongly Agree,Moderately Disagree,Neutral,Moderately Agree,Moderately Agree,Strongly Disagree,Neutral,Strongly Disagree,Slightly Disagree,Moderately Agree,Strongly Agree,Slightly Agree,Moderately Disagree,Strongly Disagree,Slightly Disagree,256,HighSESManipulation,SDO,WPS,WG,MRS
2022-09-20 08:05:37,2022-09-20 08:12:42,IP Address,132.235.116.84,100,425,True,2022-09-20 08:12:43,R_28NBqRp7IgKyRZs,,,,,39.3184,-82.1012,anonymous,EN,Yes,19,Female,,White,,Prefer Not To Answer,,Moderate Liberal,"$150,000 or more",Master's Degree,Master's Degree,Strongly Oppose,Strongly Oppose,Strongly Oppose,Neutral,Somewhat Favor,Strongly Favor,Strongly Favor,Strongly Favor,Somewhat Oppose,Neutral,Strongly Oppose,Slightly Oppose,Slightly Favor,Slightly Favor,Neutral,Somewhat Favor,Slightly Favor,,,,,,"Rich billionaires like Jeff Bezos, Elon Musk and Mark Zuckerberg",Kids who are born into wealthy families,Doctors and lawyers,6,A,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Moderately Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Moderately Agree,Strongly Agree,Moderately Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,100,75,100,40,100,100,92,100,100,C,Neutral,Moderately Disagree,Moderately Agree,Moderately Disagree,Neutral,Slightly Agree,Moderately Agree,Strongly Disagree,Moderately Disagree,Neutral,Slightly Disagree,Slightly Disagree,Slightly Agree,Strongly Disagree,Neutral,Slightly Disagree,Slightly Disagree,247,LowSESManipulation,SDO,WPS,WG,MRS
2022-09-20 09:28:11,2022-09-20 09:36:27,IP Address,132.235.219.41,100,495,True,2022-09-20 09:36:28,R_1rpPNwN4hr0VNvQ,,,,,39.2106,-82.2162,anonymous,EN,Yes,20,Female,,White,,Catholic,,Moderate Conservative,"$80,000 to $89,999",Master's Degree,Master's Degree,Slightly Favor,Slightly Oppose,Neutral,Slightly Oppose,Somewhat Favor,Somewhat Favor,Slightly Favor,Somewhat Favor,Somewhat Oppose,Strongly Oppose,Somewhat Oppose,Somewhat Oppose,Slightly Favor,Somewhat Favor,Somewhat Favor,Strongly Favor,Slightly Favor,People without an education,People of color,women,A,6,,,,,,Strongly Agree,Moderately Agree,Slightly Agree,Moderately Disagree,Neutral,Strongly Agree,Moderately Agree,Slightly Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Disagree,Strongly Disagree,Moderately Disagree,Moderately Disagree,Neutral,100,100,100,100,100,100,100,100,91,C,Strongly Agree,Moderately Disagree,Neutral,Neutral,Moderately Agree,Moderately Disagree,Slightly Agree,Moderately Disagree,Strongly Agree,Moderately Disagree,Moderately Agree,Strongly Disagree,Strongly Agree,Moderately Disagree,Strongly Agree,Moderately Disagree,Slightly Disagree,253,HighSESManipulation,SDO,WPS,WG,MRS
2022-09-20 09:32:00,2022-09-20 09:41:22,IP Address,64.247.127.254,100,561,True,2022-09-20 09:41:22,R_3fGK13UceJ28hnK,,,,,39.3184,-82.1012,anonymous,EN,Yes,,Female,,White,,Other Christian,,Neutral,"$20,000 to $29,999",High School Diploma,Less Than High School,Strongly Oppose,Strongly Oppose,Slightly Favor,Strongly Oppose,Somewhat Favor,Strongly Favor,Strongly Favor,Slightly Favor,Slightly Favor,Slightly Oppose,Slightly Oppose,Neutral,Somewhat Favor,Somewhat Favor,Somewhat Favor,Somewhat Favor,Slightly Favor,,,,,,"The president, ",Actors,Singers,1,A,Slightly Disagree,Slightly Disagree,Slightly Agree,Neutral,Neutral,Strongly Agree,Strongly Disagree,Slightly Disagree,Slightly Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Neutral,Slightly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,55,68,62,75,59,65,55,64,72,C,Moderately Agree,Neutral,Moderately Agree,Slightly Disagree,Moderately Agree,Moderately Disagree,Strongly Agree,Strongly Agree,Moderately Agree,Neutral,Slightly Agree,Neutral,Slightly Agree,Slightly Agree,Moderately Agree,Moderately Agree,Slightly Disagree,244,LowSESManipulation,SDO,WPS,WG,MRS
2022-09-20 10:42:07,2022-09-20 10:50:04,IP Address,75.188.16.228,100,477,True,2022-09-20 10:50:04,R_UMI5BHOjVSKEsuJ,,,,,39.3184,-82.1012,anonymous,EN,Yes,18,Female,,White,,Agnostic,,Strong Liberal,"$70,000 to $79,999",Bachelor's Degree,Associate's Degree,Strongly Oppose,Strongly Oppose,Somewhat Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Neutral,Somewhat Oppose,Somewhat Oppose,Somewhat Oppose,Somewhat Oppose,Strongly Favor,Somewhat Favor,Somewhat Favor,Somewhat Favor,Slightly Favor,The homeless population,Those struggling with addiction,Those put into the foster care system,A,5,,,,,,Moderately Agree,Strongly Agree,Slightly Agree,Moderately Disagree,Neutral,Strongly Agree,Moderately Agree,Moderately Agree,Slightly Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Strongly Disagree,Strongly Disagree,Neutral,80,61,78,42,76,82,64,81,70,C,Neutral,Moderately Disagree,Moderately Agree,Slightly Disagree,Slightly Agree,Neutral,Slightly Agree,Neutral,Neutral,Slightly Disagree,Neutral,Slightly Disagree,Slightly Agree,Slightly Agree,Neutral,Neutral,Slightly Disagree,234,HighSESManipulation,SDO,WPS,WG,MRS
2022-09-19 20:10:27,2022-09-20 11:17:21,IP Address,64.247.127.254,100,54413,True,2022-09-20 11:17:22,R_1Qxy7IshbjCPPfO,,,,,39.3184,-82.1012,anonymous,EN,Yes,18,Male,,White,,Catholic,,Moderate Conservative,"$150,000 or more","Doctoral or Professional Degree (i.e., Ph.D., M.D., J.D.",High School Diploma,Neutral,Slightly Favor,Slightly Oppose,Slightly Favor,Neutral,Somewhat Oppose,Neutral,Slightly Oppose,Slightly Favor,Slightly Oppose,Neutral,Neutral,Somewhat Oppose,Neutral,Slightly Favor,Slightly Oppose,Slightly Favor,"Government officials ","The president ","Rich and famous people ",A,4,,,,,,Neutral,Slightly Agree,Neutral,Slightly Agree,Slightly Agree,Strongly Agree,Neutral,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Moderately Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Moderately Disagree,Neutral,100,100,94,100,100,69,100,100,68,C,Slightly Disagree,Slightly Agree,Neutral,Slightly Agree,Neutral,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Moderately Agree,Slightly Agree,Slightly Disagree,Moderately Agree,Moderately Disagree,Slightly Disagree,242,HighSESManipulation,SDO,WPS,WG,MRS
2022-09-20 10:49:32,2022-09-20 11:25:32,IP Address,132.235.78.136,100,2160,True,2022-09-20 11:25:33,R_1ON5AbikiRtTfQW,,,,,39.3184,-82.1012,anonymous,EN,Yes,18,Female,,Black or African American,,Spiritual,,Moderate Liberal,"$80,000 to $89,999",,High School Diploma,Strongly Favor,Strongly Oppose,Strongly Favor,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Oppose,Slightly Favor,,,,,,"Celebrities ","Stay at home moms ",Students who recieve a full ride scholarship,10,A,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Moderately Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,100,21,52,41,29,40,100,0,0,C,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Slightly Disagree,237,LowSESManipulation,SDO,WPS,WG,MRS
2022-09-20 11:18:31,2022-09-20 11:34:57,IP Address,132.235.86.201,100,985,True,2022-09-20 11:34:57,R_2uEctz4sLPu9MD5,,,,,39.2106,-82.2162,anonymous,EN,Yes,18,Female,,White,,Catholic,,Moderate Liberal,"$90,000 to $99,999",High School Diploma,Bachelor's Degree,Slightly Favor,Neutral,Slightly Oppose,Strongly Oppose,Slightly Favor,Slightly Favor,Slightly Oppose,Neutral,Somewhat Oppose,Somewhat Oppose,Somewhat Oppose,Somewhat Oppose,Strongly Favor,Somewhat Favor,Somewhat Favor,Slightly Favor,Slightly Favor,,,,,,THE KARDASHIANS,JEFF BEZOS,THE PRESIDENT,5,A,Moderately Agree,Slightly Agree,Slightly Agree,Moderately Disagree,Moderately Agree,Strongly Agree,Moderately Agree,Strongly Agree,Strongly Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,100,100,100,100,100,100,100,100,100,C,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Moderately Agree,Moderately Disagree,Slightly Agree,Moderately Disagree,Moderately Agree,Slightly Disagree,228,LowSESManipulation,SDO,WPS,WG,MRS
2022-09-20 11:16:04,2022-09-20 11:42:39,IP Address,132.235.86.93,100,1594,True,2022-09-20 11:42:39,R_2scYaklDaKHNN9n,,,,,39.3184,-82.1012,anonymous,EN,Yes,19,Female,,White,,Catholic,,Neutral,"$50,000 to $59,999",Bachelor's Degree,Bachelor's Degree,Neutral,Neutral,Slightly Favor,Slightly Oppose,Somewhat Favor,Somewhat Favor,Somewhat Favor,Neutral,Slightly Favor,Strongly Favor,Neutral,Strongly Favor,Somewhat Favor,Strongly Favor,Somewhat Favor,Slightly Oppose,Slightly Favor,Women tend to be more at the bottom than men do,family's who didn't get the best guidance so it's hard for them to provide,"mental illnesses, addiction",A,6,,,,,,Slightly Agree,Slightly Agree,Moderately Agree,Slightly Disagree,Slightly Agree,Strongly Agree,Strongly Disagree,Moderately Agree,Strongly Disagree,Strongly Agree,Slightly Disagree,Moderately Disagree,Moderately Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Neutral,Slightly Disagree,Neutral,81,80,81,85,75,75,75,55,55,C,Neutral,Neutral,Neutral,Slightly Agree,Slightly Agree,Moderately Disagree,Neutral,Neutral,Moderately Agree,Strongly Agree,Moderately Agree,Strongly Disagree,Neutral,Slightly Disagree,Slightly Agree,Neutral,Slightly Disagree,260,HighSESManipulation,SDO,WPS,WG,MRS
2022-09-20 12:54:23,2022-09-20 13:01:08,IP Address,132.235.239.254,100,405,True,2022-09-20 13:01:09,R_25u4rkDnHCdvu4R,,,,,39.3184,-82.1012,anonymous,EN,Yes,18,Female,,White,,Agnostic,,Slight Liberal,"$90,000 to $99,999",Master's Degree,Bachelor's Degree,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Somewhat Favor,Somewhat Favor,Strongly Favor,Strongly Favor,Somewhat Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Somewhat Favor,Slightly Favor,Somewhat Favor,Slightly Favor,Transgender people,Immigrants,People with severe disabilities.,A,8,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Moderately Agree,Strongly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Moderately Disagree,Strongly Disagree,Slightly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,90,81,90,50,92,97,80,93,96,C,Moderately Agree,Slightly Disagree,Strongly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Moderately Agree,Moderately Agree,Neutral,Slightly Disagree,Neutral,Neutral,Slightly Agree,Neutral,Slightly Disagree,Slightly Disagree,Slightly Disagree,237,HighSESManipulation,SDO,WPS,WG,MRS
2022-09-20 13:55:51,2022-09-20 14:09:28,IP Address,64.247.74.228,100,816,True,2022-09-20 14:09:28,R_3e39I08DtmNbxfM,,,,,40.0326,-82.8799,anonymous,EN,Yes,20,Female,,White,,Atheist,,Strong Liberal,"$20,000 to $29,999",Some College,High School Diploma,Somewhat Oppose,Somewhat Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Neutral,Strongly Oppose,Strongly Oppose,Strongly Oppose,Somewhat Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Slightly Favor,,,,,,CEO's,Docters,Politicians,4,A,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Strongly Disagree,Strongly Agree,Slightly Agree,Strongly Agree,Strongly Disagree,Slightly Agree,Slightly Agree,Moderately Disagree,Moderately Disagree,Moderately Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,100,60,100,,100,100,61,100,100,C,Moderately Agree,Moderately Disagree,Moderately Agree,Strongly Disagree,Neutral,Slightly Agree,Neutral,Moderately Disagree,Neutral,Moderately Disagree,Moderately Disagree,Neutral,Neutral,Neutral,Neutral,Moderately Disagree,Slightly Disagree,212,LowSESManipulation,SDO,WPS,WG,MRS
